#       k1      psm01f
#
0.001722805 4893.9321
0.001742775 4943.438
0.001762975 4993.3647
0.0017834101 5043.7227
0.001804082 5094.5083
0.0018249929 5145.7231
0.001846147 5197.3711
0.0018675459 5249.4521
0.001889193 5301.9678
0.001911091 5354.9204
0.0019332422 5408.3096
0.001955651 5462.1387
0.0019783191 5516.4067
0.0020012499 5571.1157
0.0020244471 5626.2676
0.002047912 5681.8618
0.00207165 5737.9009
0.0020956621 5794.3833
0.002119953 5851.313
0.0021445258 5908.6899
0.0021693839 5966.5146
0.0021945289 6024.7866
0.0022199661 6083.5063
0.0022456981 6142.6763
0.0022717281 6202.2935
0.0022980599 6262.3618
0.0023246969 6322.877
0.0023516431 6383.8447
0.0023789008 6445.2593
0.0024064754 6507.125
0.0024343692 6569.439
0.0024625862 6632.2017
0.0024911298 6695.4116
0.002520005 6759.0703
0.002549215 6823.1768
0.0025787631 6887.7305
0.0026086541 6952.7285
0.0026388904 7018.1694
0.0026694781 7084.0566
0.002700421 7150.3882
0.0027317218 7217.1577
0.002763385 7284.3672
0.0027954162 7352.0176
0.0028278178 7420.0991
0.0028605957 7488.6196
0.0028937531 7557.5703
0.0029272949 7626.9546
0.0029612251 7696.7646
0.0029955492 7767.0015
0.003030271 7837.6616
0.0030653949 7908.7417
0.003100927 7980.2422
0.00313687 8052.1548
0.00317323 8124.481
0.0032100109 8197.2139
0.0032472182 8270.3516
0.0032848569 8343.8955
0.0033229331 8417.8359
0.0033614491 8492.168
0.0034004122 8566.8906
0.003439826 8641.999
0.0034796982 8717.4912
0.003520031 8793.3564
0.0035608329 8869.5967
0.0036021068 8946.2002
0.0036438589 9023.1699
0.0036860947 9100.4912
0.0037288207 9178.165
0.003772042 9256.1885
0.003815765 9334.5479
0.003859994 9413.2422
0.0039047352 9492.2617
0.0039499952 9571.6045
0.0039957804 9651.2598
0.004042096 9731.2227
0.0040889475 9811.4844
0.004136344 9892.041
0.0041842889 9972.8838
0.0042327889 10054.001
0.0042818519 10135.39
0.0043314835 10217.039
0.0043816902 10298.942
0.0044324794 10381.091
0.0044838563 10463.474
0.0045358296 10546.085
0.0045884037 10628.909
0.0046415892 10711.945
0.0046953904 10795.183
0.0047498145 10878.603
0.0048048706 10962.202
0.0048605641 11045.969
0.004916904 11129.897
0.0049738963 11213.967
0.0050315494 11298.174
0.0050898702 11382.503
0.0051488671 11466.94
0.0052085491 11551.482
0.0052689202 11636.107
0.0053299936 11720.812
0.0053917752 11805.577
0.0054542711 11890.392
0.0055174921 11975.243
0.005581446 12060.117
0.0056461412 12145
0.0057115867 12229.877
0.0057777902 12314.737
0.0058447612 12399.56
0.0059125083 12484.337
0.0059810411 12569.044
0.0060503683 12653.674
0.0061204983 12738.208
0.0061914418 12822.631
0.0062632067 12906.926
0.0063358056 12991.076
0.0064092437 13075.068
0.0064835339 13158.881
0.006558686 13242.495
0.0066347085 13325.895
0.0067116115 13409.066
0.0067894068 13491.984
0.006868104 13574.635
0.006947713 13656.998
0.0070282435 13739.05
0.0071097086 13820.777
0.007192119 13902.156
0.007275484 13983.166
0.0073598144 14063.785
0.007445123 14143.992
0.0075314203 14223.773
0.0076187183 14303.099
0.0077070268 14381.941
0.0077963602 14460.289
0.0078867292 14538.117
0.007978145 14615.393
0.0080706198 14692.104
0.0081641683 14768.22
0.0082587982 14843.72
0.0083545279 14918.571
0.0084513668 14992.761
0.008549327 15066.249
0.0086484235 15139.021
0.0087486673 15211.034
0.0088500744 15282.281
0.0089526558 15352.714
0.0090564266 15422.32
0.0091614025 15491.063
0.0092675928 15558.917
0.0093750143 15625.848
0.009483682 15691.835
0.0095936079 15756.829
0.0097048078 15820.815
0.0098172976 15883.753
0.0099310912 15945.618
0.0100462 16006.364
0.010162651 16065.967
0.010280451 16124.391
0.010399609 16181.6
0.010520149 16237.555
0.010642089 16292.221
0.010765451 16345.569
0.01089023 16397.551
0.011016461 16448.135
0.011144149 16497.283
0.01127333 16544.949
0.011403999 16591.105
0.01153618 16635.699
0.0116699 16678.699
0.011805171 16720.061
0.011942 16759.74
0.012080422 16797.693
0.012220451 16833.893
0.012362101 16868.279
0.01250539 16900.812
0.012650341 16931.453
0.012796971 16960.154
0.0129453 16986.869
0.013095349 17011.553
0.01324714 17034.172
0.013400688 17054.676
0.013556019 17073.02
