#           k/h    P           
    0.79632E-01    0.86314E+04
    0.81241E-01    0.83695E+04
    0.82882E-01    0.81020E+04
    0.84556E-01    0.78311E+04
    0.86264E-01    0.75590E+04
    0.88007E-01    0.72883E+04
    0.89785E-01    0.70213E+04
    0.91598E-01    0.67607E+04
    0.93449E-01    0.65089E+04
    0.95337E-01    0.62683E+04
    0.97263E-01    0.60412E+04
    0.99227E-01    0.58295E+04
    0.10123E+00    0.56345E+04
    0.10328E+00    0.54573E+04
    0.10536E+00    0.52978E+04
    0.10749E+00    0.51557E+04
    0.10966E+00    0.50298E+04
    0.11188E+00    0.49183E+04
    0.11414E+00    0.48190E+04
    0.11644E+00    0.47293E+04
    0.11880E+00    0.46463E+04
    0.12120E+00    0.45668E+04
    0.12365E+00    0.44871E+04
    0.12614E+00    0.44037E+04
    0.12869E+00    0.43131E+04
    0.13129E+00    0.42124E+04
    0.13394E+00    0.40998E+04
    0.13665E+00    0.39748E+04
    0.13941E+00    0.38387E+04
    0.14223E+00    0.36938E+04
    0.14510E+00    0.35435E+04
    0.14803E+00    0.33913E+04
    0.15102E+00    0.32408E+04
    0.15407E+00    0.30952E+04
    0.15718E+00    0.29578E+04
    0.16036E+00    0.28315E+04
    0.16360E+00    0.27187E+04
    0.16690E+00    0.26209E+04
    0.17028E+00    0.25379E+04
    0.17371E+00    0.24681E+04
    0.17722E+00    0.24083E+04
    0.18080E+00    0.23548E+04
    0.18446E+00    0.23038E+04
    0.18818E+00    0.22518E+04
    0.19198E+00    0.21957E+04
    0.19586E+00    0.21331E+04
    0.19982E+00    0.20628E+04
    0.20386E+00    0.19852E+04
    0.20797E+00    0.19021E+04
    0.21218E+00    0.18167E+04
    0.21646E+00    0.17325E+04
    0.22083E+00    0.16528E+04
    0.22530E+00    0.15804E+04
    0.22985E+00    0.15170E+04
    0.23449E+00    0.14630E+04
    0.23923E+00    0.14172E+04
    0.24406E+00    0.13770E+04
    0.24899E+00    0.13394E+04
    0.25402E+00    0.13014E+04
    0.25915E+00    0.12607E+04
    0.26439E+00    0.12163E+04
    0.26973E+00    0.11683E+04
    0.27518E+00    0.11180E+04
    0.28074E+00    0.10678E+04
    0.28641E+00    0.10201E+04
    0.29219E+00    0.97684E+03
    0.29810E+00    0.93870E+03
    0.30412E+00    0.90515E+03
    0.31026E+00    0.87492E+03
    0.31653E+00    0.84628E+03
    0.32292E+00    0.81739E+03
    0.32945E+00    0.78704E+03
    0.33610E+00    0.75527E+03
    0.34289E+00    0.72303E+03
    0.34982E+00    0.69160E+03
    0.35689E+00    0.66225E+03
    0.36409E+00    0.63561E+03
    0.37145E+00    0.61145E+03
    0.37895E+00    0.58896E+03
    0.38661E+00    0.56714E+03
    0.39442E+00    0.54520E+03
    0.40239E+00    0.52297E+03
    0.41052E+00    0.50089E+03
    0.41881E+00    0.47960E+03
    0.42727E+00    0.45963E+03
    0.43590E+00    0.44115E+03
    0.44471E+00    0.42379E+03
    0.45369E+00    0.40702E+03
    0.46286E+00    0.39054E+03
    0.47221E+00    0.37426E+03
    0.48174E+00    0.35843E+03
    0.49148E+00    0.34335E+03
    0.50141E+00    0.32911E+03
    0.51153E+00    0.31562E+03
    0.52187E+00    0.30264E+03
    0.53241E+00    0.29002E+03
    0.54317E+00    0.27775E+03
    0.55414E+00    0.26595E+03
    0.56533E+00    0.25470E+03
    0.57675E+00    0.24399E+03
    0.58840E+00    0.23371E+03
    0.60029E+00    0.22379E+03
    0.61242E+00    0.21422E+03
    0.62479E+00    0.20504E+03
    0.63741E+00    0.19626E+03
    0.65029E+00    0.18786E+03
    0.66342E+00    0.17979E+03
    0.67683E+00    0.17203E+03
    0.69050E+00    0.16458E+03
    0.70445E+00    0.15745E+03
    0.71868E+00    0.15062E+03
    0.73320E+00    0.14407E+03
    0.74801E+00    0.13779E+03
    0.76312E+00    0.13176E+03
    0.77854E+00    0.12599E+03
    0.79426E+00    0.12047E+03
    0.81031E+00    0.11517E+03
    0.82668E+00    0.11009E+03
    0.84338E+00    0.10523E+03
    0.86041E+00    0.10057E+03
    0.87780E+00    0.96109E+02
    0.89553E+00    0.91838E+02
    0.91362E+00    0.87750E+02
    0.93208E+00    0.83836E+02
    0.95091E+00    0.80088E+02
    0.97011E+00    0.76502E+02
    0.98971E+00    0.73071E+02
    0.10097E+01    0.69787E+02
    0.10301E+01    0.66645E+02
    0.10509E+01    0.63639E+02
    0.10721E+01    0.60762E+02
    0.10938E+01    0.58011E+02
    0.11159E+01    0.55380E+02
    0.11384E+01    0.52864E+02
    0.11614E+01    0.50458E+02
    0.11849E+01    0.48158E+02
    0.12088E+01    0.45959E+02
    0.12333E+01    0.43857E+02
    0.12582E+01    0.41848E+02
    0.12836E+01    0.39928E+02
    0.13095E+01    0.38093E+02
    0.13360E+01    0.36340E+02
    0.13630E+01    0.34664E+02
    0.13905E+01    0.33063E+02
    0.14186E+01    0.31534E+02
    0.14472E+01    0.30074E+02
    0.14765E+01    0.28679E+02
    0.15063E+01    0.27346E+02
    0.15367E+01    0.26074E+02
    0.15678E+01    0.24859E+02
    0.15994E+01    0.23699E+02
    0.16318E+01    0.22592E+02
    0.16647E+01    0.21535E+02
    0.16984E+01    0.20526E+02
    0.17327E+01    0.19563E+02
    0.17677E+01    0.18643E+02
    0.18034E+01    0.17766E+02
    0.18398E+01    0.16929E+02
    0.18770E+01    0.16130E+02
    0.19149E+01    0.15368E+02
    0.19536E+01    0.14642E+02
    0.19930E+01    0.13948E+02
    0.20333E+01    0.13287E+02
    0.20744E+01    0.12656E+02
    0.21163E+01    0.12054E+02
    0.21590E+01    0.11480E+02
    0.22026E+01    0.10933E+02
    0.22471E+01    0.10412E+02
    0.22925E+01    0.99142E+01
    0.23388E+01    0.94400E+01
    0.23861E+01    0.89880E+01
    0.24343E+01    0.85571E+01
    0.24835E+01    0.81464E+01
    0.25336E+01    0.77549E+01
    0.25848E+01    0.73819E+01
    0.26370E+01    0.70264E+01
    0.26903E+01    0.66876E+01
    0.27447E+01    0.63649E+01
    0.28001E+01    0.60573E+01
    0.28567E+01    0.57643E+01
    0.29144E+01    0.54852E+01
    0.29733E+01    0.52193E+01
    0.30333E+01    0.49660E+01
    0.30946E+01    0.47248E+01
    0.31571E+01    0.44951E+01
    0.32209E+01    0.42763E+01
    0.32860E+01    0.40679E+01
    0.33523E+01    0.38695E+01
    0.34201E+01    0.36806E+01
    0.34892E+01    0.35007E+01
    0.35596E+01    0.33295E+01
    0.36316E+01    0.31665E+01
    0.37049E+01    0.30113E+01
    0.37798E+01    0.28636E+01
    0.38561E+01    0.27230E+01
    0.39340E+01    0.25891E+01
    0.40135E+01    0.24618E+01
    0.40946E+01    0.23406E+01
    0.41773E+01    0.22252E+01
    0.42617E+01    0.21154E+01
    0.43478E+01    0.20110E+01
    0.44356E+01    0.19116E+01
    0.45252E+01    0.18171E+01
    0.46166E+01    0.17271E+01
    0.47099E+01    0.16416E+01
    0.48050E+01    0.15602E+01
    0.49021E+01    0.14828E+01
    0.50011E+01    0.14091E+01
    0.51021E+01    0.13391E+01
    0.52052E+01    0.12724E+01
    0.53104E+01    0.12091E+01
    0.54176E+01    0.11488E+01
    0.55271E+01    0.10916E+01
    0.56387E+01    0.10371E+01
    0.57526E+01    0.98527E+00
    0.58689E+01    0.93602E+00
    0.59874E+01    0.88919E+00
    0.61084E+01    0.84468E+00
    0.62318E+01    0.80236E+00
    0.63577E+01    0.76212E+00
    0.64861E+01    0.72388E+00
    0.66171E+01    0.68753E+00
    0.67508E+01    0.65298E+00
    0.68872E+01    0.62015E+00
    0.70263E+01    0.58894E+00
    0.71682E+01    0.55928E+00
    0.73130E+01    0.53109E+00
    0.74608E+01    0.50430E+00
    0.76115E+01    0.47885E+00
    0.77653E+01    0.45467E+00
    0.79221E+01    0.43169E+00
    0.80822E+01    0.40986E+00
    0.82454E+01    0.38912E+00
    0.84120E+01    0.36941E+00
    0.85819E+01    0.35069E+00
    0.87553E+01    0.33291E+00
    0.89322E+01    0.31602E+00
    0.91126E+01    0.29997E+00
    0.92967E+01    0.28473E+00
    0.94845E+01    0.27025E+00
    0.96761E+01    0.25651E+00
    0.98716E+01    0.24345E+00
    0.10071E+02    0.23105E+00
    0.10274E+02    0.21927E+00
    0.10482E+02    0.20809E+00
    0.10694E+02    0.19747E+00
    0.10910E+02    0.18739E+00
    0.11130E+02    0.17781E+00
    0.11355E+02    0.16872E+00
    0.11584E+02    0.16009E+00
    0.11818E+02    0.15190E+00
    0.12057E+02    0.14412E+00
    0.12301E+02    0.13673E+00
    0.12549E+02    0.12972E+00
    0.12803E+02    0.12306E+00
    0.13061E+02    0.11675E+00
    0.13325E+02    0.11075E+00
    0.13594E+02    0.10506E+00
    0.13869E+02    0.99656E-01
    0.14149E+02    0.94529E-01
    0.14435E+02    0.89663E-01
    0.14727E+02    0.85045E-01
    0.15024E+02    0.80662E-01
    0.15328E+02    0.76503E-01
    0.15637E+02    0.72556E-01
    0.15953E+02    0.68811E-01
    0.16275E+02    0.65257E-01
    0.16604E+02    0.61885E-01
    0.16940E+02    0.58686E-01
    0.17282E+02    0.55650E-01
    0.17631E+02    0.52770E-01
    0.17987E+02    0.50038E-01
    0.18351E+02    0.47445E-01
    0.18721E+02    0.44986E-01
    0.19099E+02    0.42653E-01
    0.19485E+02    0.40440E-01
    0.19879E+02    0.38341E-01
    0.20280E+02    0.36350E-01
    0.20690E+02    0.34461E-01
    0.21108E+02    0.32669E-01
    0.21535E+02    0.30970E-01
    0.21970E+02    0.29358E-01
    0.22413E+02    0.27830E-01
    0.22866E+02    0.26380E-01
    0.23328E+02    0.25006E-01
    0.23799E+02    0.23702E-01
    0.24280E+02    0.22465E-01
    0.24771E+02    0.21293E-01
    0.25271E+02    0.20181E-01
    0.25782E+02    0.19127E-01
    0.26302E+02    0.18127E-01
    0.26834E+02    0.17180E-01
    0.27376E+02    0.16281E-01
    0.27929E+02    0.15429E-01
    0.28493E+02    0.14621E-01
    0.29069E+02    0.13855E-01
    0.29656E+02    0.13129E-01
    0.30255E+02    0.12441E-01
    0.30866E+02    0.11788E-01
    0.31490E+02    0.11170E-01
    0.32126E+02    0.10583E-01
    0.32775E+02    0.10027E-01
    0.33437E+02    0.95004E-02
